text,intent
When is the convocation ceremony?,certificates
Degree certificate in absentia?,certificates
Postal address for receiving degree?,certificates
How to correct address in records?,certificates
Change of branch certificate?,certificates
Certificate for sports achievements?,certificates
Extra-curricular activity certificate?,certificates
Who issues the character certificate?,certificates
Is TC required for PG admission?,certificates
How to get back original 10th marksheet?,certificates
Security deposit refund certificate?,certificates
Course equivalence certificate?,certificates
Official stamp on certificates?,certificates
Notarized copy of degree?,certificates
How to get transcripts for WES evaluation?,certificates
Sealed envelope for transcripts?,certificates
Attestation from registrar?,certificates
Application for college leaving certificate?,certificates
Conduct certificate from HOD?,certificates
Is migration certificate required for job?,certificates
How to get duplicate library clearance?,certificates
No dues certificate from accounts?,certificates
No dues certificate from hostel?,certificates
No dues from sports department?,certificates
Final clearance certificate for degree?,certificates
Bonafide for opening bank account?,certificates
Bonafide for education loan?,certificates
Income certificate from college?,certificates
Certificate for attending workshop?,certificates
Industrial visit participation certificate?,certificates
Volunteer certificate for events?,certificates
Placement selection certificate?,certificates
Gate pass for original documents?,certificates
How to get old records from college?,certificates
Degree certificate hard copy vs soft copy?,certificates
QR code on degree certificate?,certificates
Digital locker for college certificates?,certificates
How to upload degree to DigiLocker?,certificates
